fylke;fag;kjonn;foreldrenes utdanningsnivå;variabel;values
;;;;;
;;;;;
;;;;;
0 Hele landet;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2009;3,8
0 Hele landet;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2010;3,8
0 Hele landet;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2011;3,9
0 Hele landet;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2012;3,9
0 Hele landet;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2013;3,9
0 Hele landet;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2014;4
0 Hele landet;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2015;3,9
0 Hele landet;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2016;3,9
0 Hele landet;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2009;59559
0 Hele landet;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2010;59313
0 Hele landet;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2011;60256
0 Hele landet;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2012;61330
0 Hele landet;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2013;60443
0 Hele landet;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2014;59095
0 Hele landet;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2015;59886
0 Hele landet;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2016;59865
0 Hele landet;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2009;3,2
0 Hele landet;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2010;3,3
0 Hele landet;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2011;3,2
0 Hele landet;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2012;3,3
0 Hele landet;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2013;3,2
0 Hele landet;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2014;3,3
0 Hele landet;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2015;3,3
0 Hele landet;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2016;3,3
0 Hele landet;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Elever_2009;5747
