fylke;fag;kjonn;foreldrenes utdanningsnivå;variabel;values
;;;;;
;;;;;
;;;;;
01 Østfold;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2009;3,7
01 Østfold;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2010;3,7
01 Østfold;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2011;3,7
01 Østfold;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2012;3,8
01 Østfold;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2013;3,8
01 Østfold;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2014;3,9
01 Østfold;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2015;3,8
01 Østfold;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2016;3,8
01 Østfold;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2009;3320
01 Østfold;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2010;3142
01 Østfold;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2011;3401
01 Østfold;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2012;3483
01 Østfold;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2013;3426
01 Østfold;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2014;3282
01 Østfold;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2015;3384
01 Østfold;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2016;3367
01 Østfold;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2009;3,1
01 Østfold;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2010;3,2
01 Østfold;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2011;3,3
01 Østfold;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2012;3,3
01 Østfold;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2013;3,2
01 Østfold;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2014;3,3
01 Østfold;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2015;3,3
01 Østfold;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2016;3,3
01 Østfold;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Elever_2009;465
