fylke;fag;kjonn;foreldrenes utdanningsnivå;variabel;values
;;;;;
;;;;;
;;;;;
02 Akershus;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2009;4
02 Akershus;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2010;4
02 Akershus;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2011;4
02 Akershus;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2012;4
02 Akershus;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2013;4
02 Akershus;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2014;4,1
02 Akershus;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2015;4,1
02 Akershus;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2016;4
02 Akershus;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2009;7051
02 Akershus;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2010;7038
02 Akershus;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2011;7180
02 Akershus;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2012;7232
02 Akershus;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2013;7184
02 Akershus;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2014;7208
02 Akershus;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2015;7341
02 Akershus;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2016;7275
02 Akershus;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2009;3,3
02 Akershus;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2010;3,3
02 Akershus;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2011;3,4
02 Akershus;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2012;3,4
02 Akershus;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2013;3,4
02 Akershus;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2014;3,4
02 Akershus;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2015;3,4
02 Akershus;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2016;3,3
02 Akershus;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Elever_2009;601
02 Akershus;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Elever_2010;610
