fylke;fag;kjonn;foreldrenes utdanningsnivå;variabel;values
;;;;;
;;;;;
;;;;;
03 Oslo;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2009;4
03 Oslo;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2010;4
03 Oslo;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2011;4
03 Oslo;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2012;4
03 Oslo;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2013;4
03 Oslo;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2014;4,1
03 Oslo;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2015;4
03 Oslo;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2016;4,1
03 Oslo;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2009;4900
03 Oslo;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2010;4746
03 Oslo;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2011;5048
03 Oslo;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2012;5062
03 Oslo;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2013;5127
03 Oslo;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2014;5091
03 Oslo;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2015;5163
03 Oslo;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2016;5343
03 Oslo;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2009;3,3
03 Oslo;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2010;3,4
03 Oslo;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2011;3,3
03 Oslo;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2012;3,4
03 Oslo;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2013;3,3
03 Oslo;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2014;3,4
03 Oslo;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2015;3,3
03 Oslo;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2016;3,3
03 Oslo;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Elever_2009;739
03 Oslo;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Elever_2010;628
