fylke;fag;kjonn;foreldrenes utdanningsnivå;variabel;values
;;;;;
;;;;;
;;;;;
04 Hedmark;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2009;3,8
04 Hedmark;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2010;3,8
04 Hedmark;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2011;3,8
04 Hedmark;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2012;3,8
04 Hedmark;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2013;3,9
04 Hedmark;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2014;3,8
04 Hedmark;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2015;3,9
04 Hedmark;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2016;3,9
04 Hedmark;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2009;2378
04 Hedmark;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2010;2209
04 Hedmark;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2011;2340
04 Hedmark;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2012;2403
04 Hedmark;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2013;2317
04 Hedmark;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2014;2247
04 Hedmark;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2015;2316
04 Hedmark;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2016;2279
04 Hedmark;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2009;3
04 Hedmark;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2010;3,2
04 Hedmark;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2011;3,1
04 Hedmark;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2012;3,2
04 Hedmark;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2013;3
04 Hedmark;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2014;3
04 Hedmark;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2015;3,1
04 Hedmark;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2016;3,3
04 Hedmark;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Elever_2009;305
