fylke;fag;kjonn;foreldrenes utdanningsnivå;variabel;values
;;;;;
;;;;;
;;;;;
05 Oppland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2009;3,8
05 Oppland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2010;3,8
05 Oppland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2011;3,8
05 Oppland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2012;3,8
05 Oppland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2013;3,9
05 Oppland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2014;3,9
05 Oppland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2015;3,8
05 Oppland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2016;3,9
05 Oppland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2009;2281
05 Oppland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2010;2228
05 Oppland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2011;2300
05 Oppland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2012;2268
05 Oppland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2013;2252
05 Oppland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2014;2261
05 Oppland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2015;2261
05 Oppland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2016;2195
05 Oppland;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2009;2,9
05 Oppland;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2010;3,1
05 Oppland;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2011;3,1
05 Oppland;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2012;3,3
05 Oppland;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2013;3,1
05 Oppland;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2014;3,2
05 Oppland;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2015;3,3
05 Oppland;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2016;3,2
05 Oppland;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Elever_2009;196
