fylke;fag;kjonn;foreldrenes utdanningsnivå;variabel;values
;;;;;
;;;;;
;;;;;
06 Buskerud;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2009;3,8
06 Buskerud;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2010;3,8
06 Buskerud;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2011;3,8
06 Buskerud;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2012;3,8
06 Buskerud;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2013;3,9
06 Buskerud;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2014;3,9
06 Buskerud;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2015;3,9
06 Buskerud;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2016;4
06 Buskerud;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2009;3009
06 Buskerud;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2010;3161
06 Buskerud;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2011;3155
06 Buskerud;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2012;3110
06 Buskerud;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2013;3314
06 Buskerud;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2014;3113
06 Buskerud;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2015;3184
06 Buskerud;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2016;3107
06 Buskerud;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2009;3,1
06 Buskerud;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2010;3,2
06 Buskerud;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2011;3,2
06 Buskerud;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2012;3,2
06 Buskerud;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2013;3,3
06 Buskerud;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2014;3,4
06 Buskerud;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2015;3,2
06 Buskerud;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2016;3,4
06 Buskerud;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Elever_2009;349
