fylke;fag;kjonn;foreldrenes utdanningsnivå;variabel;values
;;;;;
;;;;;
;;;;;
07 Vestfold;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2009;3,7
07 Vestfold;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2010;3,7
07 Vestfold;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2011;3,8
07 Vestfold;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2012;3,8
07 Vestfold;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2013;3,8
07 Vestfold;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2014;3,9
07 Vestfold;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2015;3,8
07 Vestfold;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2016;3,9
07 Vestfold;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2009;2904
07 Vestfold;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2010;2911
07 Vestfold;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2011;2998
07 Vestfold;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2012;3002
07 Vestfold;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2013;3046
07 Vestfold;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2014;2819
07 Vestfold;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2015;2900
07 Vestfold;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2016;2899
07 Vestfold;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2009;3,1
07 Vestfold;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2010;3,2
07 Vestfold;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2011;3,2
07 Vestfold;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2012;3,3
07 Vestfold;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2013;3,3
07 Vestfold;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2014;3,3
07 Vestfold;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2015;3,2
07 Vestfold;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2016;3,4
07 Vestfold;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Elever_2009;285
