fylke;fag;kjonn;foreldrenes utdanningsnivå;variabel;values
;;;;;
;;;;;
;;;;;
08 Telemark;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2009;3,7
08 Telemark;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2010;3,8
08 Telemark;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2011;3,7
08 Telemark;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2012;3,7
08 Telemark;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2013;3,7
08 Telemark;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2014;3,8
08 Telemark;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2015;3,8
08 Telemark;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2016;3,8
08 Telemark;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2009;2055
08 Telemark;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2010;2126
08 Telemark;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2011;2152
08 Telemark;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2012;2139
08 Telemark;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2013;2033
08 Telemark;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2014;2008
08 Telemark;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2015;2031
08 Telemark;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2016;2034
08 Telemark;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2009;2,8
08 Telemark;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2010;3,1
08 Telemark;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2011;3,1
08 Telemark;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2012;3,2
08 Telemark;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2013;2,9
08 Telemark;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2014;3,1
08 Telemark;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2015;3
08 Telemark;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2016;3,3
08 Telemark;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Elever_2009;186
