fylke;fag;kjonn;foreldrenes utdanningsnivå;variabel;values
;;;;;
;;;;;
;;;;;
09 Aust-Agder;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2009;3,7
09 Aust-Agder;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2010;3,8
09 Aust-Agder;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2011;3,8
09 Aust-Agder;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2012;3,7
09 Aust-Agder;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2013;3,8
09 Aust-Agder;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2014;3,8
09 Aust-Agder;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2015;3,8
09 Aust-Agder;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2016;3,9
09 Aust-Agder;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2009;1436
09 Aust-Agder;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2010;1380
09 Aust-Agder;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2011;1406
09 Aust-Agder;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2012;1452
09 Aust-Agder;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2013;1473
09 Aust-Agder;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2014;1421
09 Aust-Agder;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2015;1461
09 Aust-Agder;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2016;1411
09 Aust-Agder;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2009;3
09 Aust-Agder;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2010;3,1
09 Aust-Agder;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2011;3,2
09 Aust-Agder;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2012;3,1
09 Aust-Agder;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2013;3,3
09 Aust-Agder;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2014;3,3
09 Aust-Agder;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2015;3,1
09 Aust-Agder;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2016;3,4
