fylke;fag;kjonn;foreldrenes utdanningsnivå;variabel;values
;;;;;
;;;;;
;;;;;
10 Vest-Agder;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2009;3,7
10 Vest-Agder;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2010;3,7
10 Vest-Agder;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2011;3,8
10 Vest-Agder;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2012;3,8
10 Vest-Agder;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2013;3,8
10 Vest-Agder;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2014;3,9
10 Vest-Agder;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2015;3,8
10 Vest-Agder;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2016;3,9
10 Vest-Agder;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2009;2305
10 Vest-Agder;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2010;2299
10 Vest-Agder;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2011;2305
10 Vest-Agder;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2012;2445
10 Vest-Agder;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2013;2323
10 Vest-Agder;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2014;2186
10 Vest-Agder;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2015;2325
10 Vest-Agder;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2016;2236
10 Vest-Agder;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2009;3,2
10 Vest-Agder;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2010;3,1
10 Vest-Agder;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2011;3,3
10 Vest-Agder;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2012;3,2
10 Vest-Agder;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2013;3,2
10 Vest-Agder;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2014;3,2
10 Vest-Agder;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2015;3,3
10 Vest-Agder;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2016;3,2
