fylke;fag;kjonn;foreldrenes utdanningsnivå;variabel;values
;;;;;
;;;;;
;;;;;
11 Rogaland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2009;3,8
11 Rogaland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2010;3,8
11 Rogaland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2011;3,8
11 Rogaland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2012;3,8
11 Rogaland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2013;3,9
11 Rogaland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2014;3,9
11 Rogaland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2015;3,9
11 Rogaland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2016;3,9
11 Rogaland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2009;5565
11 Rogaland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2010;5627
11 Rogaland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2011;5644
11 Rogaland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2012;5742
11 Rogaland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2013;5760
11 Rogaland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2014;5738
11 Rogaland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2015;5784
11 Rogaland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2016;5679
11 Rogaland;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2009;3,1
11 Rogaland;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2010;3,2
11 Rogaland;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2011;3,2
11 Rogaland;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2012;3,2
11 Rogaland;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2013;3,2
11 Rogaland;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2014;3,2
11 Rogaland;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2015;3,3
11 Rogaland;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2016;3,4
11 Rogaland;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Elever_2009;506
