fylke;fag;kjonn;foreldrenes utdanningsnivå;variabel;values
;;;;;
;;;;;
;;;;;
12 Hordaland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2009;3,9
12 Hordaland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2010;3,9
12 Hordaland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2011;3,9
12 Hordaland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2012;3,9
12 Hordaland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2013;3,9
12 Hordaland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2014;4
12 Hordaland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2015;4
12 Hordaland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2016;4
12 Hordaland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2009;6005
12 Hordaland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2010;6106
12 Hordaland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2011;5983
12 Hordaland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2012;6303
12 Hordaland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2013;5998
12 Hordaland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2014;5935
12 Hordaland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2015;5910
12 Hordaland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2016;6207
12 Hordaland;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2009;3,3
12 Hordaland;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2010;3,4
12 Hordaland;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2011;3,3
12 Hordaland;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2012;3,2
12 Hordaland;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2013;3,2
12 Hordaland;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2014;3,2
12 Hordaland;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2015;3,3
12 Hordaland;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2016;3,4
12 Hordaland;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Elever_2009;466
