fylke;fag;kjonn;foreldrenes utdanningsnivå;variabel;values
;;;;;
;;;;;
;;;;;
14 Sogn og Fjordane;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2009;3,9
14 Sogn og Fjordane;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2010;3,9
14 Sogn og Fjordane;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2011;4
14 Sogn og Fjordane;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2012;3,9
14 Sogn og Fjordane;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2013;4
14 Sogn og Fjordane;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2014;4
14 Sogn og Fjordane;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2015;3,9
14 Sogn og Fjordane;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2016;3,9
14 Sogn og Fjordane;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2009;1476
14 Sogn og Fjordane;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2010;1538
14 Sogn og Fjordane;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2011;1487
14 Sogn og Fjordane;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2012;1537
14 Sogn og Fjordane;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2013;1466
14 Sogn og Fjordane;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2014;1435
14 Sogn og Fjordane;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2015;1420
14 Sogn og Fjordane;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2016;1431
14 Sogn og Fjordane;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2009;3,4
14 Sogn og Fjordane;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2010;3,6
14 Sogn og Fjordane;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2011;3,4
14 Sogn og Fjordane;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2012;3,5
14 Sogn og Fjordane;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2013;3,5
14 Sogn og Fjordane;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2014;3,6
14 Sogn og Fjordane;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2015;3,1
