fylke;fag;kjonn;foreldrenes utdanningsnivå;variabel;values
;;;;;
;;;;;
;;;;;
15 Møre og Romsdal;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2009;3,8
15 Møre og Romsdal;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2010;3,8
15 Møre og Romsdal;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2011;3,8
15 Møre og Romsdal;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2012;3,9
15 Møre og Romsdal;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2013;3,9
15 Møre og Romsdal;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2014;4
15 Møre og Romsdal;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2015;3,9
15 Møre og Romsdal;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2016;3,9
15 Møre og Romsdal;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2009;3352
15 Møre og Romsdal;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2010;3264
15 Møre og Romsdal;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2011;3269
15 Møre og Romsdal;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2012;3451
15 Møre og Romsdal;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2013;3338
15 Møre og Romsdal;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2014;3197
15 Møre og Romsdal;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2015;3366
15 Møre og Romsdal;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2016;3308
15 Møre og Romsdal;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2009;3,3
15 Møre og Romsdal;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2010;3,3
15 Møre og Romsdal;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2011;3,3
15 Møre og Romsdal;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2012;3,4
15 Møre og Romsdal;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2013;3,2
15 Møre og Romsdal;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2014;3,3
15 Møre og Romsdal;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2015;3,3
