fylke;fag;kjonn;foreldrenes utdanningsnivå;variabel;values
;;;;;
;;;;;
;;;;;
16 Sør-Trøndelag;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2009;3,8
16 Sør-Trøndelag;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2010;3,8
16 Sør-Trøndelag;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2011;3,9
16 Sør-Trøndelag;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2012;3,9
16 Sør-Trøndelag;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2013;3,9
16 Sør-Trøndelag;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2014;4
16 Sør-Trøndelag;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2015;4
16 Sør-Trøndelag;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2016;4
16 Sør-Trøndelag;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2009;3532
16 Sør-Trøndelag;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2010;3558
16 Sør-Trøndelag;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2011;3455
16 Sør-Trøndelag;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2012;3601
16 Sør-Trøndelag;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2013;3517
16 Sør-Trøndelag;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2014;3556
16 Sør-Trøndelag;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2015;3371
16 Sør-Trøndelag;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2016;3548
16 Sør-Trøndelag;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2009;3,2
16 Sør-Trøndelag;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2010;3,2
16 Sør-Trøndelag;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2011;3,3
16 Sør-Trøndelag;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2012;3,2
16 Sør-Trøndelag;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2013;3,1
16 Sør-Trøndelag;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2014;3,2
16 Sør-Trøndelag;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2015;3,2
