fylke;fag;kjonn;foreldrenes utdanningsnivå;variabel;values
;;;;;
;;;;;
;;;;;
17 Nord-Trøndelag;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2009;3,7
17 Nord-Trøndelag;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2010;3,7
17 Nord-Trøndelag;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2011;3,8
17 Nord-Trøndelag;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2012;3,8
17 Nord-Trøndelag;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2013;3,8
17 Nord-Trøndelag;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2014;3,8
17 Nord-Trøndelag;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2015;3,9
17 Nord-Trøndelag;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2016;3,8
17 Nord-Trøndelag;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2009;1791
17 Nord-Trøndelag;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2010;1808
17 Nord-Trøndelag;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2011;1774
17 Nord-Trøndelag;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2012;1901
17 Nord-Trøndelag;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2013;1765
17 Nord-Trøndelag;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2014;1715
17 Nord-Trøndelag;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2015;1778
17 Nord-Trøndelag;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2016;1794
17 Nord-Trøndelag;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2009;3,2
17 Nord-Trøndelag;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2010;3
17 Nord-Trøndelag;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2011;3,2
17 Nord-Trøndelag;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2012;3,1
17 Nord-Trøndelag;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2013;3
17 Nord-Trøndelag;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2014;3,1
17 Nord-Trøndelag;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2015;3,1
