fylke;fag;kjonn;foreldrenes utdanningsnivå;variabel;values
;;;;;
;;;;;
;;;;;
18 Nordland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2009;3,9
18 Nordland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2010;3,8
18 Nordland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2011;3,9
18 Nordland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2012;3,9
18 Nordland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2013;3,9
18 Nordland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2014;3,9
18 Nordland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2015;3,9
18 Nordland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2016;3,9
18 Nordland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2009;3198
18 Nordland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2010;3164
18 Nordland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2011;3277
18 Nordland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2012;3182
18 Nordland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2013;3178
18 Nordland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2014;3002
18 Nordland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2015;2988
18 Nordland;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2016;2857
18 Nordland;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2009;3,4
18 Nordland;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2010;3,4
18 Nordland;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2011;3,2
18 Nordland;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2012;3,3
18 Nordland;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2013;3,3
18 Nordland;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2014;3,4
18 Nordland;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2015;3,3
18 Nordland;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2016;3,3
18 Nordland;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Elever_2009;265
