fylke;fag;kjonn;foreldrenes utdanningsnivå;variabel;values
;;;;;
;;;;;
;;;;;
19 Troms - Romsa;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2009;3,8
19 Troms - Romsa;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2010;3,9
19 Troms - Romsa;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2011;3,9
19 Troms - Romsa;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2012;3,9
19 Troms - Romsa;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2013;3,9
19 Troms - Romsa;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2014;4
19 Troms - Romsa;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2015;3,9
19 Troms - Romsa;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2016;4
19 Troms - Romsa;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2009;1979
19 Troms - Romsa;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2010;2023
19 Troms - Romsa;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2011;2033
19 Troms - Romsa;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2012;2015
19 Troms - Romsa;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2013;1918
19 Troms - Romsa;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2014;1942
19 Troms - Romsa;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2015;1897
19 Troms - Romsa;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2016;1925
19 Troms - Romsa;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2009;3,2
19 Troms - Romsa;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2010;3,5
19 Troms - Romsa;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2011;3,3
19 Troms - Romsa;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2012;3,4
19 Troms - Romsa;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2013;3,2
19 Troms - Romsa;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2014;3,2
19 Troms - Romsa;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2015;3,3
19 Troms - Romsa;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2016;3,4
