fylke;fag;kjonn;foreldrenes utdanningsnivå;variabel;values
;;;;;
;;;;;
;;;;;
20 Finnmark - Finnmárku;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2009;3,7
20 Finnmark - Finnmárku;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2010;3,7
20 Finnmark - Finnmárku;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2011;3,7
20 Finnmark - Finnmárku;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2012;3,7
20 Finnmark - Finnmárku;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2013;3,8
20 Finnmark - Finnmárku;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2014;3,8
20 Finnmark - Finnmárku;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2015;3,7
20 Finnmark - Finnmárku;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Gjennomsnittlig standpunktkarakter_2016;3,7
20 Finnmark - Finnmárku;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2009;1022
20 Finnmark - Finnmárku;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2010;968
20 Finnmark - Finnmárku;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2011;1028
20 Finnmark - Finnmárku;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2012;982
20 Finnmark - Finnmárku;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2013;986
20 Finnmark - Finnmárku;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2014;921
20 Finnmark - Finnmárku;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2015;980
20 Finnmark - Finnmárku;Engelsk skriftlig;Begge kjønn;Alle utdanningsnivå;Elever_2016;970
20 Finnmark - Finnmárku;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2009;3,1
20 Finnmark - Finnmárku;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2010;3,1
20 Finnmark - Finnmárku;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2011;3,2
20 Finnmark - Finnmárku;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2012;3,1
20 Finnmark - Finnmárku;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2013;3,1
20 Finnmark - Finnmárku;Engelsk skriftlig;Begge kjønn;Grunnskole eller ingen fullført utdanning;Gjennomsnittlig standpunktkarakter_2014;2,8
